iter	RMSE
0	14.3513598
1	13.90396549
2	13.54284912
3	13.18769359
4	12.8642602
5	12.52428248
6	12.24202635
7	11.96604811
8	11.63855336
9	11.33320765
10	11.02164675
11	10.79822392
12	10.5181536
13	10.28670867
14	10.05643128
15	9.809695037
16	9.582872396
17	9.380862863
18	9.198241882
19	9.004930311
20	8.837626146
21	8.664668706
22	8.50130401
23	8.334793506
24	8.179099875
25	8.047606141
26	7.941227917
27	7.838959706
28	7.72253034
29	7.609010433
30	7.518885137
31	7.41794024
32	7.31733008
33	7.232510744
34	7.161270903
35	7.079496908
36	7.022470599
37	6.946087416
38	6.873810358
39	6.822267907
40	6.747146277
41	6.672345768
42	6.618946161
43	6.560513211
44	6.502448681
45	6.440393544
46	6.398667083
47	6.358032325
48	6.317139304
49	6.279408554
50	6.23622105
51	6.19581075
52	6.161818116
53	6.121936998
54	6.082431365
55	6.050122193
56	6.020122105
57	5.988722819
58	5.955532827
59	5.927179054
60	5.902501472
61	5.879970682
62	5.862656956
63	5.844881764
64	5.816945527
65	5.798268714
66	5.777750333
67	5.761576605
68	5.739088025
69	5.726223395
70	5.704632373
71	5.686013555
72	5.671079914
73	5.651855446
74	5.639173949
75	5.626614074
76	5.606465178
77	5.596069886
78	5.585077887
79	5.573604302
80	5.565805309
81	5.550137535
82	5.539297675
83	5.523338083
84	5.511280169
85	5.5018195
86	5.493640336
87	5.481502806
88	5.476541613
89	5.466337969
90	5.46012613
91	5.450346528
92	5.444914402
93	5.43564883
94	5.428810938
95	5.42106395
96	5.413610148
97	5.4047485
98	5.399283467
99	5.387949767
100	5.383603961
101	5.376348735
102	5.371278948
103	5.365307286
104	5.361121097
105	5.354826072
106	5.353198317
107	5.347691161
108	5.342435938
109	5.335341121
110	5.332058564
111	5.323255024
112	5.319624776
113	5.313538391
114	5.306737457
115	5.303618274
116	5.301208399
117	5.297791195
118	5.291529277
119	5.288282707
120	5.282271199
121	5.278946991
122	5.273608047
123	5.271387769
124	5.266733914
125	5.263275472
126	5.257142566
127	5.253500161
128	5.250324299
129	5.248594213
130	5.24393494
131	5.239120103
132	5.234144012
133	5.227792493
134	5.224040095
135	5.222099963
136	5.217958139
137	5.214582666
138	5.211799902
139	5.208921703
140	5.205675931
141	5.201838405
142	5.198983827
143	5.196514898
144	5.193791706
145	5.190506455
146	5.187544269
147	5.184997324
148	5.181047507
149	5.177397437
150	5.17561482
151	5.173975522
152	5.171622978
153	5.170017209
154	5.16508607
155	5.163085413
156	5.162725074
157	5.158642812
158	5.156138677
159	5.154717223
160	5.152392427
161	5.150606329
162	5.149289464
163	5.147649971
164	5.145007115
165	5.143280569
166	5.139546157
167	5.136461401
168	5.133907971
169	5.132519268
170	5.130392916
171	5.126672092
172	5.121997615
173	5.116660139
174	5.114447875
175	5.11004493
176	5.104835316
177	5.101553163
178	5.099996411
179	5.099462757
180	5.0935529
181	5.090670589
182	5.086513394
183	5.084691242
184	5.080489689
185	5.076019793
186	5.073781932
187	5.071810132
188	5.067321629
189	5.065242255
190	5.061570869
191	5.057317133
192	5.055498098
193	5.049908708
194	5.049504789
195	5.044177788
196	5.041479956
197	5.037804353
198	5.032085068
199	5.031703178
200	5.026763327
201	5.019589535
202	5.0184141
203	5.013516366
204	5.01208943
205	5.01076737
206	5.006600775
207	5.002693702
208	4.99797101
209	4.994490062
210	4.993287855
211	4.991755998
212	4.990480618
213	4.989065688
214	4.98377928
215	4.981697305
216	4.978484183
217	4.976242672
218	4.974678897
219	4.969699598
220	4.964573955
221	4.960309124
222	4.959021857
223	4.957787761
224	4.951219883
225	4.945102634
226	4.940046002
227	4.938927638
228	4.935021462
229	4.934026628
230	4.930836793
231	4.928649059
232	4.924299016
233	4.923628483
234	4.921108
235	4.920460887
236	4.914104598
237	4.912556729
238	4.911948638
239	4.908930992
240	4.906237117
241	4.902377653
242	4.901792009
243	4.897847511
244	4.892095152
245	4.887233011
246	4.884290195
247	4.879799422
248	4.878837494
249	4.873462882
250	4.872942712
251	4.868517721
252	4.864584334
253	4.862305925
254	4.858306136
255	4.857294507
256	4.853403771
257	4.852619823
258	4.850767924
259	4.849889638
260	4.845959897
261	4.844118098
262	4.839122862
263	4.838593718
264	4.834531443
265	4.830476454
266	4.826476925
267	4.823851987
268	4.823331196
269	4.820627393
270	4.818923743
271	4.815379006
272	4.812977094
273	4.809915103
274	4.807682458
275	4.80491181
276	4.801295295
277	4.800360619
278	4.797741987
279	4.796857419
280	4.796367646
281	4.792661213
282	4.786695839
283	4.78271759
284	4.781354632
285	4.780650418
286	4.780184979
287	4.776977747
288	4.773789707
289	4.773145069
290	4.771373364
291	4.768968732
292	4.765897291
293	4.76097054
294	4.757271088
295	4.754836034
296	4.74962073
297	4.746960721
298	4.742556501
299	4.737931898
