iter	RMSE
0	14.61563746
1	14.27064642
2	13.91607105
3	13.58171637
4	13.29182777
5	12.9523605
6	12.66258859
7	12.38082145
8	12.08365381
9	11.8296168
10	11.59262499
11	11.3410641
12	11.09153053
13	10.87554077
14	10.6497184
15	10.43908523
16	10.2174938
17	10.0364918
18	9.854632066
19	9.672218051
20	9.505585113
21	9.361720842
22	9.186275662
23	9.036379781
24	8.865815933
25	8.725032835
26	8.596218978
27	8.457767833
28	8.339860074
29	8.223243816
30	8.122710974
31	7.9992494
32	7.878153961
33	7.766416024
34	7.66812237
35	7.581073986
36	7.479715789
37	7.39203811
38	7.30476716
39	7.21510354
40	7.137923182
41	7.062379104
42	6.98083702
43	6.913574468
44	6.838176789
45	6.768873852
46	6.706846802
47	6.639986593
48	6.581577044
49	6.520980747
50	6.460827606
51	6.40593104
52	6.352829259
53	6.307425477
54	6.263075065
55	6.219885677
56	6.180579107
57	6.139794592
58	6.098690637
59	6.060889692
60	6.018342845
61	5.979625301
62	5.942831845
63	5.911807702
64	5.871783205
65	5.839659506
66	5.807376868
67	5.782204864
68	5.756308666
69	5.729612291
70	5.703654823
71	5.680987957
72	5.660020558
73	5.638250883
74	5.615844697
75	5.595839927
76	5.570441505
77	5.554840581
78	5.534732825
79	5.520283119
80	5.501005434
81	5.482425285
82	5.466969903
83	5.451956764
84	5.439264584
85	5.425768386
86	5.408950849
87	5.392860258
88	5.382693794
89	5.373252858
90	5.357479138
91	5.346681194
92	5.336273238
93	5.328132527
94	5.317557568
95	5.306797295
96	5.294005355
97	5.284756649
98	5.273318076
99	5.264543001
100	5.251765821
101	5.239266034
102	5.230748071
103	5.222369683
104	5.215222012
105	5.207984993
106	5.202809396
107	5.196065121
108	5.186054947
109	5.176613254
110	5.167651389
111	5.158437498
112	5.145983694
113	5.138730886
114	5.128246041
115	5.120364382
116	5.115100682
117	5.10666963
118	5.098614028
119	5.08797838
120	5.079194006
121	5.07061536
122	5.06142424
123	5.055245656
124	5.049690598
125	5.045650016
126	5.037837215
127	5.036799744
128	5.030275588
129	5.025211706
130	5.020372959
131	5.015062685
132	5.005243279
133	4.999865318
134	4.996312741
135	4.990666536
136	4.984175856
137	4.977878827
138	4.974956494
139	4.967370768
140	4.965360431
141	4.959268337
142	4.95280263
143	4.946851097
144	4.939673708
145	4.935763694
146	4.935074646
147	4.926721586
148	4.921813676
149	4.917211436
150	4.912799758
151	4.909165102
152	4.902792425
153	4.900274344
154	4.896032951
155	4.893615525
156	4.88820705
157	4.885274655
158	4.880289201
159	4.87613981
160	4.872399333
161	4.868280893
162	4.862990972
163	4.859872754
164	4.859024786
165	4.855699574
166	4.852350939
167	4.849516213
168	4.844397245
169	4.839423236
170	4.837172469
171	4.831702216
172	4.826927489
173	4.825128835
174	4.820857232
175	4.820413113
176	4.816477379
177	4.81189905
178	4.807823306
179	4.804984541
180	4.800817525
181	4.793511733
182	4.788018342
183	4.784220058
184	4.78136135
185	4.776950534
186	4.77168671
187	4.767007439
188	4.762952416
189	4.76077916
190	4.758869634
191	4.756621777
192	4.754016867
193	4.747302501
194	4.742381694
195	4.739513481
196	4.737745559
197	4.734846804
198	4.731732338
199	4.72999343
200	4.727983666
201	4.725614881
202	4.721824165
203	4.719061348
204	4.714073501
205	4.711250231
206	4.709491389
207	4.704343601
208	4.698993218
209	4.696657122
210	4.692309126
211	4.689469714
212	4.686580907
213	4.6813441
214	4.677534828
215	4.673949942
216	4.670029241
217	4.668357632
218	4.666092165
219	4.664694796
220	4.662584603
221	4.66048806
222	4.658561195
223	4.655612108
224	4.653733518
225	4.652842124
226	4.649697817
227	4.647055333
228	4.644581032
229	4.642195734
230	4.637842016
231	4.635996407
232	4.633569682
233	4.632310798
234	4.630238552
235	4.626206677
236	4.621593556
237	4.619170061
238	4.615431866
239	4.610357287
240	4.607587825
241	4.598553074
242	4.596169272
243	4.591165641
244	4.584724894
245	4.580184507
246	4.57950354
247	4.574935524
248	4.573789299
249	4.573011475
250	4.572180022
251	4.570402507
252	4.565445893
253	4.557060421
254	4.556112904
255	4.551463161
256	4.547386441
257	4.545757014
258	4.542762912
259	4.537803941
260	4.534524339
261	4.530033252
262	4.529398702
263	4.524700863
264	4.521847337
265	4.515662753
266	4.512974361
267	4.510105083
268	4.50866648
269	4.506677121
270	4.503587587
271	4.498008105
272	4.493972486
273	4.490319259
274	4.482440481
275	4.476307596
276	4.475911773
277	4.469899594
278	4.467051241
279	4.464159648
280	4.463526445
281	4.459008732
282	4.454119634
283	4.447947752
284	4.444430596
285	4.438041754
286	4.436734117
287	4.435287875
288	4.431230366
289	4.430419601
290	4.426287993
291	4.424565915
292	4.421687687
293	4.42106301
294	4.417396473
295	4.411335967
296	4.410963768
297	4.407147216
298	4.406466769
299	4.405257077
300	4.404682684
301	4.40433382
302	4.402793986
303	4.400594958
304	4.397622575
305	4.395715024
306	4.390903323
307	4.387148135
308	4.38671612
309	4.383230283
310	4.382585554
311	4.375156523
312	4.372589348
313	4.37130769
314	4.365450104
315	4.361736151
316	4.356803073
317	4.354804206
318	4.354225514
319	4.353928169
320	4.351867591
321	4.349654148
322	4.344527996
323	4.34353482
324	4.340443776
325	4.338138429
326	4.332472486
327	4.331967332
328	4.327979563
329	4.323102557
330	4.322816875
331	4.317288509
332	4.313451182
333	4.308950289
334	4.30476962
335	4.302765551
336	4.30126049
337	4.299462261
338	4.29832116
339	4.296748936
340	4.291036956
341	4.288028457
342	4.285555681
343	4.282653108
344	4.278467796
345	4.275565291
346	4.275138386
347	4.274165279
348	4.268973633
349	4.26383008
350	4.263541463
351	4.259643102
352	4.258137547
353	4.254384045
354	4.249298811
355	4.24528114
356	4.241140239
357	4.237781802
358	4.234315561
359	4.228814193
360	4.225643915
361	4.225497138
362	4.224751305
